Invoice_no,Received Date,Processed Date,Amount,Assigned To,Date,Transaction Number,Trans Name,Transaction Description,Debit,Credit,Balance
INV1689,24-02-2024,28-02-2024,4540.39,acctnt_1,28-02-2024,8688,Revenue - Consulting,Maintenance Fee,0,4540.39,304282
INV1690,23-02-2024,28-02-2024,2396.57,acctnt_1,28-02-2024,8689,Salaries Expense,Office Rent,2396.57,0,301885
INV1691,27-02-2024,28-02-2024,1997.12,acctnt_4,28-02-2024,8690,Accounts Receivable,Client Payment,0,1997.12,303882
INV1692,21-02-2024,28-02-2024,2155.75,acctnt_4,28-02-2024,8691,Salaries Expense,Equipment Purchase,2155.75,0,301727
INV1693,23-02-2024,28-02-2024,3086.39,acctnt_4,28-02-2024,8692,Revenue - Consulting,Client Payment,0,3086.39,304813
INV1694,22-02-2024,28-02-2024,2357.6,acctnt_1,28-02-2024,8693,Revenue - Consulting,Equipment Purchase,0,2357.6,307171
INV1695,22-02-2024,28-02-2024,569.01,acctnt_5,28-02-2024,8694,Software Subscriptions,Equipment Purchase,569.01,0,306602
INV1696,23-02-2024,28-02-2024,1427.93,acctnt_6,28-02-2024,8695,Revenue - Consulting,Salary Expense,0,1427.93,308030
INV1697,28-02-2024,28-02-2024,1195.02,acctnt_3,28-02-2024,8696,Salaries Expense,Client Payment,1195.02,0,306835
INV1698,24-02-2024,28-02-2024,2010.78,acctnt_3,28-02-2024,8697,Revenue - Consulting,Salary Expense,0,2010.78,308845
INV1699,27-02-2024,28-02-2024,2460.91,acctnt_5,28-02-2024,8698,Accounts Payable,Software Purchase,2460.91,0,306384
INV1700,21-02-2024,28-02-2024,3554.77,acctnt_2,28-02-2024,8699,Salaries Expense,Client Payment,3554.77,0,302830
INV1701,27-02-2024,28-02-2024,759.19,acctnt_4,28-02-2024,8700,Equipment Purchase,Client Payment,759.19,0,302070
INV1702,24-02-2024,28-02-2024,3710.38,acctnt_6,28-02-2024,8701,Revenue - Consulting,Invoice Payment,0,3710.38,305781
INV1703,25-02-2024,28-02-2024,568.93,acctnt_1,28-02-2024,8702,Revenue - Consulting,Software Purchase,0,568.93,306350
INV1704,28-02-2024,28-02-2024,3218.46,acctnt_5,28-02-2024,8703,Equipment Purchase,Salary Expense,3218.46,0,303131
INV1705,26-02-2024,28-02-2024,1612.48,acctnt_2,28-02-2024,8704,Revenue - Consulting,Equipment Purchase,0,1612.48,304744
INV1706,21-02-2024,28-02-2024,1508.7,acctnt_2,28-02-2024,8705,Revenue - Consulting,Equipment Purchase,0,1508.7,306253
INV1707,27-02-2024,28-02-2024,4370.88,acctnt_5,28-02-2024,8706,Salaries Expense,Office Rent,4370.88,0,301882
INV1708,23-02-2024,28-02-2024,787.33,acctnt_6,28-02-2024,8707,Revenue - Consulting,Client Payment,0,787.33,302669
INV1709,28-02-2024,28-02-2024,2478.91,acctnt_3,28-02-2024,8708,Accounts Receivable,Salary Expense,0,2478.91,305148
INV1710,24-02-2024,28-02-2024,3414.58,acctnt_6,28-02-2024,8709,Salaries Expense,Office Rent,3414.58,0,301733
INV1711,24-02-2024,28-02-2024,4596.45,acctnt_4,28-02-2024,8710,Salaries Expense,Maintenance Fee,4596.45,0,297137
INV1712,27-02-2024,28-02-2024,3165.16,acctnt_5,28-02-2024,8711,Accounts Receivable,Invoice Payment,0,3165.16,300302
INV1713,21-02-2024,28-02-2024,4041.58,acctnt_5,28-02-2024,8712,Salaries Expense,Equipment Purchase,4041.58,0,296260
INV1714,25-02-2024,28-02-2024,4830.78,acctnt_3,28-02-2024,8713,Equipment Purchase,Client Payment,4830.78,0,291430
INV1715,25-02-2024,28-02-2024,1881.16,acctnt_2,28-02-2024,8714,Revenue - Consulting,Salary Expense,0,1881.16,293311
INV1716,22-02-2024,28-02-2024,1250.05,acctnt_5,28-02-2024,8715,Accounts Receivable,Equipment Purchase,0,1250.05,294561
INV1717,26-02-2024,28-02-2024,4041.4,acctnt_1,28-02-2024,8716,Software Subscriptions,Cloud Service Renewal,4041.4,0,290519
INV1718,25-02-2024,29-02-2024,129.23,acctnt_6,29-02-2024,8717,Accounts Receivable,Salary Expense,0,129.23,290649
INV1719,25-02-2024,29-02-2024,2466.28,acctnt_6,29-02-2024,8718,Revenue - Consulting,Software Purchase,0,2466.28,293115
INV1720,25-02-2024,29-02-2024,1629.01,acctnt_4,29-02-2024,8719,Revenue - Consulting,Software Purchase,0,1629.01,294744
INV1721,23-02-2024,29-02-2024,3194.69,acctnt_6,29-02-2024,8720,Salaries Expense,Salary Expense,3194.69,0,291549
INV1722,27-02-2024,29-02-2024,2583.84,acctnt_3,29-02-2024,8721,Revenue - Consulting,Equipment Purchase,0,2583.84,294133
INV1723,23-02-2024,29-02-2024,3704.36,acctnt_6,29-02-2024,8722,Software Subscriptions,Invoice Payment,3704.36,0,290429
INV1724,28-02-2024,29-02-2024,1476.28,acctnt_5,29-02-2024,8723,Accounts Receivable,Maintenance Fee,0,1476.28,291905
INV1725,29-02-2024,29-02-2024,3702.77,acctnt_6,29-02-2024,8724,Equipment Purchase,Office Rent,3702.77,0,288202
INV1726,22-02-2024,29-02-2024,1552.23,acctnt_2,29-02-2024,8725,Revenue - Consulting,Invoice Payment,0,1552.23,289755
INV1727,26-02-2024,29-02-2024,718.52,acctnt_5,29-02-2024,8726,Accounts Payable,Maintenance Fee,718.52,0,289036
INV1728,23-02-2024,29-02-2024,2909.01,acctnt_3,29-02-2024,8727,Accounts Receivable,Invoice Payment,0,2909.01,291945
INV1729,24-02-2024,29-02-2024,1112.25,acctnt_3,29-02-2024,8728,Salaries Expense,Salary Expense,1112.25,0,290833
INV1730,27-02-2024,29-02-2024,1166.65,acctnt_3,29-02-2024,8729,Office Rent,Maintenance Fee,1166.65,0,289666
INV1731,24-02-2024,29-02-2024,3954.21,acctnt_3,29-02-2024,8730,Salaries Expense,Cloud Service Renewal,3954.21,0,285712
INV1732,26-02-2024,29-02-2024,386.32,acctnt_3,29-02-2024,8731,Software Subscriptions,Invoice Payment,386.32,0,285326
INV1733,26-02-2024,29-02-2024,2839.83,acctnt_2,29-02-2024,8732,Revenue - Consulting,Cloud Service Renewal,0,2839.83,288165
INV1734,24-02-2024,29-02-2024,726.86,acctnt_2,29-02-2024,8733,Revenue - Consulting,Office Rent,0,726.86,288892
INV1735,29-02-2024,29-02-2024,2222.4,acctnt_5,29-02-2024,8734,Office Rent,Maintenance Fee,2222.4,0,286670
INV1736,29-02-2024,29-02-2024,4805.09,acctnt_1,29-02-2024,8735,Salaries Expense,Cloud Service Renewal,4805.09,0,281865
INV1737,27-02-2024,29-02-2024,1653.02,acctnt_5,29-02-2024,8736,Revenue - Consulting,Cloud Service Renewal,0,1653.02,283518
INV1738,24-02-2024,29-02-2024,3881.62,acctnt_6,29-02-2024,8737,Revenue - Consulting,Maintenance Fee,0,3881.62,287399
INV1739,23-02-2024,29-02-2024,2573.78,acctnt_5,29-02-2024,8738,Office Rent,Office Rent,2573.78,0,284826
INV1740,22-02-2024,29-02-2024,3857.55,acctnt_1,29-02-2024,8739,Revenue - Consulting,Equipment Purchase,0,3857.55,288683
INV1741,26-02-2024,29-02-2024,2296.41,acctnt_5,29-02-2024,8740,Salaries Expense,Software Purchase,2296.41,0,286387
INV1742,23-02-2024,29-02-2024,129.47,acctnt_4,29-02-2024,8741,Office Rent,Cloud Service Renewal,129.47,0,286257
INV1743,26-02-2024,29-02-2024,3163.74,acctnt_3,29-02-2024,8742,Salaries Expense,Salary Expense,3163.74,0,283094
INV1744,22-02-2024,29-02-2024,372.53,acctnt_1,29-02-2024,8743,Salaries Expense,Client Payment,372.53,0,282721
INV1745,24-02-2024,29-02-2024,2228.82,acctnt_4,29-02-2024,8744,Software Subscriptions,Equipment Purchase,2228.82,0,280492
INV1746,27-02-2024,29-02-2024,3514.48,acctnt_6,29-02-2024,8745,Revenue - Consulting,Cloud Service Renewal,0,3514.48,284007
INV1747,29-02-2024,29-02-2024,3506.56,acctnt_2,29-02-2024,8746,Revenue - Consulting,Cloud Service Renewal,0,3506.56,287513
INV1748,27-02-2024,29-02-2024,215.66,acctnt_3,29-02-2024,8747,Accounts Payable,Software Purchase,215.66,0,287298
INV1749,26-02-2024,29-02-2024,3804.83,acctnt_1,29-02-2024,8748,Revenue - Software Sales,Office Rent,0,3804.83,291102
INV1750,24-02-2024,29-02-2024,136.02,acctnt_3,29-02-2024,8749,Accounts Receivable,Salary Expense,0,136.02,291238
INV1751,26-02-2024,29-02-2024,2891.77,acctnt_6,29-02-2024,8750,Salaries Expense,Maintenance Fee,2891.77,0,288347
INV1752,26-02-2024,29-02-2024,2527.32,acctnt_3,29-02-2024,8751,Equipment Purchase,Salary Expense,2527.32,0,285819
INV1753,28-02-2024,29-02-2024,2365.67,acctnt_6,29-02-2024,8752,Salaries Expense,Equipment Purchase,2365.67,0,283454
INV1754,26-02-2024,01-03-2024,3860.23,acctnt_6,01-03-2024,8753,Accounts Payable,Invoice Payment,3860.23,0,279593
INV1755,28-02-2024,01-03-2024,533.15,acctnt_2,01-03-2024,8754,Equipment Purchase,Invoice Payment,533.15,0,279060
INV1756,25-02-2024,01-03-2024,4026.55,acctnt_6,01-03-2024,8755,Equipment Purchase,Invoice Payment,4026.55,0,275034
INV1757,25-02-2024,01-03-2024,4792.41,acctnt_5,01-03-2024,8756,Salaries Expense,Maintenance Fee,4792.41,0,270241
INV1758,01-03-2024,01-03-2024,335.55,acctnt_3,01-03-2024,8757,Revenue - Consulting,Software Purchase,0,335.55,270577
INV1759,01-03-2024,01-03-2024,2263.14,acctnt_6,01-03-2024,8758,Revenue - Consulting,Equipment Purchase,0,2263.14,272840
INV1760,23-02-2024,01-03-2024,3087.85,acctnt_6,01-03-2024,8759,Revenue - Consulting,Maintenance Fee,0,3087.85,275928
INV1761,24-02-2024,01-03-2024,1035.59,acctnt_6,01-03-2024,8760,Revenue - Consulting,Maintenance Fee,0,1035.59,276963
INV1762,24-02-2024,01-03-2024,1931.76,acctnt_1,01-03-2024,8761,Revenue - Consulting,Client Payment,0,1931.76,278895
INV1763,28-02-2024,01-03-2024,222.48,acctnt_5,01-03-2024,8762,Salaries Expense,Equipment Purchase,222.48,0,278673
INV1764,27-02-2024,01-03-2024,2904.83,acctnt_3,01-03-2024,8763,Accounts Payable,Maintenance Fee,2904.83,0,275768
INV1765,24-02-2024,01-03-2024,2819.51,acctnt_5,01-03-2024,8764,Office Rent,Client Payment,2819.51,0,272948
INV1766,25-02-2024,01-03-2024,3362.93,acctnt_1,01-03-2024,8765,Revenue - Consulting,Client Payment,0,3362.93,276311
INV1767,29-02-2024,01-03-2024,1925.44,acctnt_2,01-03-2024,8766,Office Rent,Equipment Purchase,1925.44,0,274386
INV1768,29-02-2024,01-03-2024,4068.56,acctnt_1,01-03-2024,8767,Revenue - Consulting,Salary Expense,0,4068.56,278454
INV1769,27-02-2024,01-03-2024,4311.79,acctnt_5,01-03-2024,8768,Revenue - Consulting,Invoice Payment,0,4311.79,282766
INV1770,28-02-2024,01-03-2024,4575.89,acctnt_5,01-03-2024,8769,Office Rent,Software Purchase,4575.89,0,278190
INV1771,28-02-2024,01-03-2024,828.67,acctnt_5,01-03-2024,8770,Salaries Expense,Client Payment,828.67,0,277362
INV1772,29-02-2024,01-03-2024,820.75,acctnt_2,01-03-2024,8771,Revenue - Consulting,Invoice Payment,0,820.75,278182
INV1773,25-02-2024,01-03-2024,3830.2,acctnt_4,01-03-2024,8772,Equipment Purchase,Client Payment,3830.2,0,274352
INV1774,26-02-2024,01-03-2024,563.4,acctnt_5,01-03-2024,8773,Software Subscriptions,Maintenance Fee,563.4,0,273789
INV1775,23-02-2024,01-03-2024,2894.93,acctnt_2,01-03-2024,8774,Revenue - Consulting,Software Purchase,0,2894.93,276684
INV1776,27-02-2024,01-03-2024,4247.2,acctnt_1,01-03-2024,8775,Revenue - Consulting,Salary Expense,0,4247.2,280931
INV1777,01-03-2024,01-03-2024,227.59,acctnt_1,01-03-2024,8776,Revenue - Consulting,Salary Expense,0,227.59,281159
INV1778,01-03-2024,01-03-2024,2623.34,acctnt_3,01-03-2024,8777,Revenue - Consulting,Software Purchase,0,2623.34,283782
INV1779,27-02-2024,01-03-2024,4681.56,acctnt_6,01-03-2024,8778,Salaries Expense,Maintenance Fee,4681.56,0,279100
INV1780,01-03-2024,01-03-2024,2528.97,acctnt_6,01-03-2024,8779,Revenue - Consulting,Maintenance Fee,0,2528.97,281629
INV1781,01-03-2024,01-03-2024,2706.43,acctnt_5,01-03-2024,8780,Revenue - Consulting,Salary Expense,0,2706.43,284336
INV1782,24-02-2024,01-03-2024,2787.5,acctnt_2,01-03-2024,8781,Revenue - Consulting,Cloud Service Renewal,0,2787.5,287123
INV1783,27-02-2024,01-03-2024,119.28,acctnt_5,01-03-2024,8782,Revenue - Software Sales,Salary Expense,0,119.28,287243
INV1784,29-02-2024,01-03-2024,4450.8,acctnt_2,01-03-2024,8783,Revenue - Consulting,Office Rent,0,4450.8,291693
INV1785,01-03-2024,02-03-2024,1038.83,acctnt_4,02-03-2024,8784,Salaries Expense,Invoice Payment,1038.83,0,290654
INV1786,02-03-2024,02-03-2024,1249.45,acctnt_2,02-03-2024,8785,Revenue - Consulting,Software Purchase,0,1249.45,291904
INV1787,28-02-2024,02-03-2024,4264.86,acctnt_5,02-03-2024,8786,Revenue - Consulting,Software Purchase,0,4264.86,296169
INV1788,26-02-2024,02-03-2024,2683.22,acctnt_6,02-03-2024,8787,Salaries Expense,Salary Expense,2683.22,0,293486
INV1789,02-03-2024,02-03-2024,4036.83,acctnt_3,02-03-2024,8788,Accounts Payable,Office Rent,4036.83,0,289449
INV1790,28-02-2024,02-03-2024,4495.73,acctnt_6,02-03-2024,8789,Revenue - Consulting,Equipment Purchase,0,4495.73,293944
INV1791,24-02-2024,02-03-2024,2286.58,acctnt_4,02-03-2024,8790,Office Rent,Cloud Service Renewal,2286.58,0,291658
INV1792,29-02-2024,02-03-2024,3503.34,acctnt_4,02-03-2024,8791,Revenue - Software Sales,Invoice Payment,0,3503.34,295161
INV1793,28-02-2024,02-03-2024,2391.2,acctnt_3,02-03-2024,8792,Salaries Expense,Salary Expense,2391.2,0,292770
INV1794,28-02-2024,02-03-2024,1820.88,acctnt_4,02-03-2024,8793,Salaries Expense,Client Payment,1820.88,0,290949
INV1795,29-02-2024,02-03-2024,4279.41,acctnt_2,02-03-2024,8794,Revenue - Consulting,Office Rent,0,4279.41,295229
INV1796,24-02-2024,02-03-2024,2949.13,acctnt_4,02-03-2024,8795,Salaries Expense,Office Rent,2949.13,0,292279
INV1797,02-03-2024,02-03-2024,3735.58,acctnt_2,02-03-2024,8796,Revenue - Software Sales,Office Rent,0,3735.58,296015
INV1798,01-03-2024,02-03-2024,2016.77,acctnt_4,02-03-2024,8797,Revenue - Consulting,Equipment Purchase,0,2016.77,298032
INV1799,02-03-2024,02-03-2024,2152.43,acctnt_3,02-03-2024,8798,Revenue - Consulting,Invoice Payment,0,2152.43,300184
INV1800,28-02-2024,02-03-2024,1786.54,acctnt_2,02-03-2024,8799,Revenue - Consulting,Equipment Purchase,0,1786.54,301971
INV1801,27-02-2024,02-03-2024,3931.11,acctnt_2,02-03-2024,8800,Revenue - Consulting,Salary Expense,0,3931.11,305902
INV1802,29-02-2024,02-03-2024,3120.16,acctnt_4,02-03-2024,8801,Revenue - Consulting,Cloud Service Renewal,0,3120.16,309022
INV1803,24-02-2024,02-03-2024,1865.67,acctnt_2,02-03-2024,8802,Salaries Expense,Office Rent,1865.67,0,307156
INV1804,25-02-2024,02-03-2024,3268.81,acctnt_1,02-03-2024,8803,Salaries Expense,Client Payment,3268.81,0,303888
INV1805,27-02-2024,02-03-2024,831.4,acctnt_4,02-03-2024,8804,Revenue - Consulting,Cloud Service Renewal,0,831.4,304719
INV1806,29-02-2024,02-03-2024,4429.91,acctnt_4,02-03-2024,8805,Salaries Expense,Maintenance Fee,4429.91,0,300289
INV1807,01-03-2024,02-03-2024,1827.02,acctnt_1,02-03-2024,8806,Software Subscriptions,Salary Expense,1827.02,0,298462
INV1808,27-02-2024,02-03-2024,1430.37,acctnt_6,02-03-2024,8807,Revenue - Consulting,Client Payment,0,1430.37,299892
INV1809,24-02-2024,02-03-2024,4000.45,acctnt_2,02-03-2024,8808,Accounts Payable,Invoice Payment,4000.45,0,295892
INV1810,27-02-2024,02-03-2024,4389.3,acctnt_6,02-03-2024,8809,Revenue - Consulting,Salary Expense,0,4389.3,300281
INV1811,25-02-2024,02-03-2024,2709.83,acctnt_2,02-03-2024,8810,Revenue - Consulting,Salary Expense,0,2709.83,302991
INV1812,24-02-2024,02-03-2024,4395.34,acctnt_1,02-03-2024,8811,Salaries Expense,Maintenance Fee,4395.34,0,298596
INV1813,26-02-2024,02-03-2024,3831.67,acctnt_5,02-03-2024,8812,Revenue - Software Sales,Client Payment,0,3831.67,302427
INV1814,24-02-2024,02-03-2024,228.19,acctnt_1,02-03-2024,8813,Revenue - Consulting,Invoice Payment,0,228.19,302656
INV1815,26-02-2024,02-03-2024,134.32,acctnt_5,02-03-2024,8814,Revenue - Consulting,Office Rent,0,134.32,302790
INV1816,27-02-2024,02-03-2024,575.66,acctnt_5,02-03-2024,8815,Revenue - Consulting,Office Rent,0,575.66,303366
INV1817,02-03-2024,02-03-2024,222.78,acctnt_4,02-03-2024,8816,Salaries Expense,Client Payment,222.78,0,303143
INV1818,25-02-2024,03-03-2024,4256.36,acctnt_6,03-03-2024,8817,Revenue - Consulting,Maintenance Fee,0,4256.36,307399
INV1819,02-03-2024,03-03-2024,4025.06,acctnt_1,03-03-2024,8818,Salaries Expense,Invoice Payment,4025.06,0,303374
INV1820,29-02-2024,03-03-2024,1794.1,acctnt_3,03-03-2024,8819,Revenue - Consulting,Equipment Purchase,0,1794.1,305168
INV1821,01-03-2024,03-03-2024,865.04,acctnt_1,03-03-2024,8820,Software Subscriptions,Maintenance Fee,865.04,0,304303
INV1822,26-02-2024,03-03-2024,3975.46,acctnt_4,03-03-2024,8821,Accounts Payable,Office Rent,3975.46,0,300328
INV1823,03-03-2024,03-03-2024,1670.3,acctnt_2,03-03-2024,8822,Revenue - Consulting,Office Rent,0,1670.3,301998
INV1824,02-03-2024,03-03-2024,1537.36,acctnt_1,03-03-2024,8823,Revenue - Consulting,Salary Expense,0,1537.36,303535
INV1825,28-02-2024,03-03-2024,4610.72,acctnt_1,03-03-2024,8824,Revenue - Consulting,Software Purchase,0,4610.72,308146
INV1826,29-02-2024,03-03-2024,3562.86,acctnt_6,03-03-2024,8825,Revenue - Consulting,Cloud Service Renewal,0,3562.86,311709
INV1827,02-03-2024,03-03-2024,1249.66,acctnt_6,03-03-2024,8826,Salaries Expense,Invoice Payment,1249.66,0,310459
INV1828,03-03-2024,03-03-2024,4717.9,acctnt_6,03-03-2024,8827,Salaries Expense,Cloud Service Renewal,4717.9,0,305741
INV1829,02-03-2024,03-03-2024,4982.98,acctnt_3,03-03-2024,8828,Revenue - Consulting,Software Purchase,0,4982.98,310724
INV1830,27-02-2024,03-03-2024,4465.86,acctnt_6,03-03-2024,8829,Salaries Expense,Office Rent,4465.86,0,306258
INV1831,25-02-2024,03-03-2024,734.86,acctnt_1,03-03-2024,8830,Salaries Expense,Office Rent,734.86,0,305524
INV1832,02-03-2024,03-03-2024,4221.12,acctnt_1,03-03-2024,8831,Revenue - Software Sales,Client Payment,0,4221.12,309745
INV1833,27-02-2024,03-03-2024,1450.28,acctnt_1,03-03-2024,8832,Revenue - Consulting,Salary Expense,0,1450.28,311195
INV1834,27-02-2024,03-03-2024,3061.84,acctnt_2,03-03-2024,8833,Salaries Expense,Invoice Payment,3061.84,0,308133
INV1835,27-02-2024,03-03-2024,1174.98,acctnt_2,03-03-2024,8834,Salaries Expense,Equipment Purchase,1174.98,0,306958
INV1836,25-02-2024,03-03-2024,2103.65,acctnt_5,03-03-2024,8835,Accounts Payable,Maintenance Fee,2103.65,0,304855
INV1837,27-02-2024,03-03-2024,346.11,acctnt_5,03-03-2024,8836,Salaries Expense,Salary Expense,346.11,0,304508
INV1838,25-02-2024,03-03-2024,4386.54,acctnt_3,03-03-2024,8837,Software Subscriptions,Cloud Service Renewal,4386.54,0,300122
INV1839,28-02-2024,03-03-2024,891.43,acctnt_5,03-03-2024,8838,Salaries Expense,Software Purchase,891.43,0,299230
INV1840,26-02-2024,03-03-2024,3478.83,acctnt_6,03-03-2024,8839,Revenue - Consulting,Office Rent,0,3478.83,302709
INV1841,27-02-2024,03-03-2024,3057.12,acctnt_4,03-03-2024,8840,Revenue - Consulting,Office Rent,0,3057.12,305766
INV1842,03-03-2024,03-03-2024,3064.99,acctnt_2,03-03-2024,8841,Revenue - Consulting,Software Purchase,0,3064.99,308831
INV1843,01-03-2024,04-03-2024,3172.06,acctnt_2,04-03-2024,8842,Salaries Expense,Software Purchase,3172.06,0,305659
INV1844,29-02-2024,04-03-2024,3896.63,acctnt_3,04-03-2024,8843,Revenue - Consulting,Cloud Service Renewal,0,3896.63,309556
INV1845,04-03-2024,04-03-2024,3579.74,acctnt_3,04-03-2024,8844,Revenue - Consulting,Invoice Payment,0,3579.74,313136
INV1846,28-02-2024,04-03-2024,2983.44,acctnt_6,04-03-2024,8845,Revenue - Software Sales,Salary Expense,0,2983.44,316119
INV1847,02-03-2024,04-03-2024,258.43,acctnt_6,04-03-2024,8846,Office Rent,Client Payment,258.43,0,315861
INV1848,27-02-2024,04-03-2024,4574.52,acctnt_3,04-03-2024,8847,Revenue - Consulting,Equipment Purchase,0,4574.52,320435
INV1849,26-02-2024,04-03-2024,3561.47,acctnt_5,04-03-2024,8848,Revenue - Consulting,Invoice Payment,0,3561.47,323997
INV1850,27-02-2024,04-03-2024,4048.79,acctnt_6,04-03-2024,8849,Salaries Expense,Salary Expense,4048.79,0,319948
INV1851,02-03-2024,04-03-2024,2074.9,acctnt_5,04-03-2024,8850,Revenue - Consulting,Salary Expense,0,2074.9,322023
INV1852,28-02-2024,04-03-2024,537.22,acctnt_4,04-03-2024,8851,Accounts Payable,Software Purchase,537.22,0,321486
INV1853,28-02-2024,04-03-2024,123.63,acctnt_5,04-03-2024,8852,Salaries Expense,Maintenance Fee,123.63,0,321362
INV1854,02-03-2024,04-03-2024,827.6,acctnt_6,04-03-2024,8853,Revenue - Consulting,Equipment Purchase,0,827.6,322190
INV1855,29-02-2024,04-03-2024,3440.14,acctnt_1,04-03-2024,8854,Accounts Receivable,Client Payment,0,3440.14,325630
INV1856,04-03-2024,04-03-2024,3350.26,acctnt_6,04-03-2024,8855,Office Rent,Software Purchase,3350.26,0,322279
INV1857,04-03-2024,04-03-2024,4987.27,acctnt_3,04-03-2024,8856,Equipment Purchase,Software Purchase,4987.27,0,317292
INV1858,26-02-2024,04-03-2024,1236.7,acctnt_3,04-03-2024,8857,Revenue - Consulting,Salary Expense,0,1236.7,318529
INV1859,01-03-2024,04-03-2024,1723.83,acctnt_1,04-03-2024,8858,Revenue - Consulting,Maintenance Fee,0,1723.83,320253
INV1860,02-03-2024,04-03-2024,4307.03,acctnt_6,04-03-2024,8859,Revenue - Consulting,Client Payment,0,4307.03,324560
INV1861,26-02-2024,04-03-2024,3389.42,acctnt_3,04-03-2024,8860,Accounts Payable,Cloud Service Renewal,3389.42,0,321170
INV1862,29-02-2024,04-03-2024,1618.75,acctnt_2,04-03-2024,8861,Salaries Expense,Invoice Payment,1618.75,0,319552
INV1863,29-02-2024,04-03-2024,1706.63,acctnt_4,04-03-2024,8862,Revenue - Consulting,Salary Expense,0,1706.63,321258
INV1864,28-02-2024,04-03-2024,1081.66,acctnt_4,04-03-2024,8863,Revenue - Consulting,Invoice Payment,0,1081.66,322340
INV1865,27-02-2024,04-03-2024,3491.83,acctnt_3,04-03-2024,8864,Salaries Expense,Invoice Payment,3491.83,0,318848
INV1866,03-03-2024,04-03-2024,3790.46,acctnt_1,04-03-2024,8865,Salaries Expense,Invoice Payment,3790.46,0,315058
INV1867,29-02-2024,04-03-2024,1757.46,acctnt_6,04-03-2024,8866,Office Rent,Client Payment,1757.46,0,313300
INV1868,26-02-2024,04-03-2024,2352.87,acctnt_3,04-03-2024,8867,Revenue - Consulting,Salary Expense,0,2352.87,315653
INV1869,26-02-2024,04-03-2024,2041.11,acctnt_5,04-03-2024,8868,Revenue - Consulting,Salary Expense,0,2041.11,317694
INV1870,03-03-2024,04-03-2024,3690.62,acctnt_5,04-03-2024,8869,Accounts Payable,Client Payment,3690.62,0,314003
INV1871,01-03-2024,04-03-2024,3060.65,acctnt_1,04-03-2024,8870,Revenue - Consulting,Maintenance Fee,0,3060.65,317064
INV1872,28-02-2024,04-03-2024,2812.44,acctnt_4,04-03-2024,8871,Software Subscriptions,Invoice Payment,2812.44,0,314252
INV1873,29-02-2024,04-03-2024,3018.68,acctnt_1,04-03-2024,8872,Revenue - Consulting,Office Rent,0,3018.68,317270
INV1874,29-02-2024,05-03-2024,1636.67,acctnt_4,05-03-2024,8873,Office Rent,Software Purchase,1636.67,0,315634
INV1875,03-03-2024,05-03-2024,3079.52,acctnt_3,05-03-2024,8874,Revenue - Consulting,Equipment Purchase,0,3079.52,318713
INV1876,01-03-2024,05-03-2024,4281.77,acctnt_6,05-03-2024,8875,Revenue - Consulting,Office Rent,0,4281.77,322995
INV1877,04-03-2024,05-03-2024,1028.71,acctnt_1,05-03-2024,8876,Accounts Payable,Office Rent,1028.71,0,321966
INV1878,03-03-2024,05-03-2024,3607.94,acctnt_5,05-03-2024,8877,Salaries Expense,Equipment Purchase,3607.94,0,318358
INV1879,03-03-2024,05-03-2024,1870.37,acctnt_1,05-03-2024,8878,Salaries Expense,Maintenance Fee,1870.37,0,316488
INV1880,02-03-2024,05-03-2024,702.64,acctnt_4,05-03-2024,8879,Revenue - Consulting,Invoice Payment,0,702.64,317191
INV1881,28-02-2024,05-03-2024,2409.06,acctnt_1,05-03-2024,8880,Equipment Purchase,Salary Expense,2409.06,0,314782
INV1882,04-03-2024,05-03-2024,4931.98,acctnt_5,05-03-2024,8881,Accounts Payable,Software Purchase,4931.98,0,309850
INV1883,03-03-2024,05-03-2024,3657.82,acctnt_1,05-03-2024,8882,Revenue - Consulting,Maintenance Fee,0,3657.82,313507
INV1884,04-03-2024,05-03-2024,4055.55,acctnt_6,05-03-2024,8883,Salaries Expense,Software Purchase,4055.55,0,309452
INV1885,03-03-2024,05-03-2024,398.98,acctnt_3,05-03-2024,8884,Salaries Expense,Office Rent,398.98,0,309053
INV1886,29-02-2024,05-03-2024,634.82,acctnt_5,05-03-2024,8885,Accounts Receivable,Maintenance Fee,0,634.82,309688
INV1887,03-03-2024,05-03-2024,3538,acctnt_1,05-03-2024,8886,Salaries Expense,Salary Expense,3538,0,306150
INV1888,04-03-2024,05-03-2024,3441.74,acctnt_6,05-03-2024,8887,Salaries Expense,Salary Expense,3441.74,0,302708
INV1889,29-02-2024,05-03-2024,2257.64,acctnt_5,05-03-2024,8888,Revenue - Consulting,Client Payment,0,2257.64,304966
INV1890,01-03-2024,05-03-2024,558.6,acctnt_3,05-03-2024,8889,Revenue - Consulting,Invoice Payment,0,558.6,305524
INV1891,02-03-2024,05-03-2024,2792.99,acctnt_4,05-03-2024,8890,Revenue - Consulting,Client Payment,0,2792.99,308317
INV1892,05-03-2024,05-03-2024,2544.83,acctnt_3,05-03-2024,8891,Revenue - Consulting,Invoice Payment,0,2544.83,310862
INV1893,01-03-2024,05-03-2024,4394.43,acctnt_5,05-03-2024,8892,Revenue - Consulting,Software Purchase,0,4394.43,315256
INV1894,03-03-2024,05-03-2024,230.69,acctnt_2,05-03-2024,8893,Revenue - Consulting,Invoice Payment,0,230.69,315487
